stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
23270,601251,12Th Street @ 472 E   (Ogden),472 E 12Th Street & Washington Blvd,41.244378,-111.967743,,,0,,,0
23271,601252,Washington Blvd / 24Th St (SB),2415 Washington Blvd & 24Th St,41.222359,-111.970617,,,0,,,1
23272,601262,Wolf Creek Dr @ 3600 N,3600 N Wolf Creek Dr & Moose Hollow Dr,41.324076,-111.829008,,,0,,,0
23273,601263,Wolf Creek Road @ 3595 N,3595 N Wolf Creek Road & Moose Hollow Drive,41.324348,-111.828877,,,0,,,0
23278,BB801263,Lehi Station (Bay B),3101 N Ashton Blvd & Executive Way,40.425836,-111.895924,,,0,,,1
23279,BB801264,Lehi Station (Bay D),3101 N Ashton Blvd & Executive Way,40.425483,-111.895752,,,0,,,1
23280,BB801265,Lehi Station (Bay E),3101 N Ashton Blvd & Executive Way,40.425608,-111.895555,,,0,,,1
23283,BB801268,American Fork Station,782 W 200 South & Executive Way,40.374342,-111.819482,,,0,,,1
23286,BB801271,Orem Central Station (Bay E),1350 W 900 S & Executive Way,40.280543,-111.726206,,,0,,,1
23288,BB801273,Provo Central Station (Bay D),Provo Station St,40.225326,-111.660919,,,0,,,1
23289,BB801274,Provo Central Station (Bay B),Provo Station St,40.225354,-111.661438,,,0,,,1
23290,BB801275,Provo Central Station,Provo Station,40.225389,-111.661723,,,0,,,1
23292,BB801277,Provo Central Station (Bay L),Provo Intermodal St,40.224964,-111.661434,,,0,,,1
23293,BB801278,Provo Central Station (Bay M),Provo Intermodal St,40.224936,-111.661215,,,0,,,1
23294,BB801279,Provo Central Station (Bay N),610 S Freedom Blvd,40.224912,-111.660886,,,0,,,1
23295,BB801280,Provo Central Station (Bay C),Provo Intermodal St,40.225328,-111.661213,,,0,,,1
23296,601233,2900 S @ 1870 W,1870 W 2900 S & 1900 W,41.212514,-112.025054,,,,,,0
23297,601237,Valley Drive @ 1851 E   (Rainbow Ga,1851 E Valley Drive & 12Th Street (Highway 39),41.235322,-111.930433,,,0,,,0
23299,801282,4800 West @ 10080 N,10098 N 4800 W,40.415887,-111.773365,,,0,,,0
23300,801283,4800 West @ 10080 N,10179 N 4800 West & Cedar Hills Drive,40.416265,-111.773591,,,0,,,1
23301,801284,1000 S @ 1418 W,1418 W 1000 S & Cedar Hills Drive,40.278875,-111.72863,,,0,,,0
23302,801285,1000 S @ 1379 W,1379 W 1000 S & Cedar Hills Drive,40.278988,-111.728121,,,0,,,1
23303,601236,12Th Street @ 425 E   (Ogden),425 E 12Th Street & Washington Blvd,41.244181,-111.969041,,,0,,,0
23305,601267,5100 E @ 8000 N   (Powder Mountain),8000 N 5100 E,41.379123,-111.780978,,,0,,,0
23306,198034,State St @ 6960 S,6960 S State St & Carlson Ave,40.6246,-111.890366,,,,,,1
23307,198089,1940 W. North Temple Station,1881 W N Temple & Orange St,40.771386,-111.944952,,,,,,1
23311,198090,Grizzly Way @ 8620 S,8620 S Grizzly Way & New Bingham Hwy,40.596404,-112.016207,,,,,,0
23314,601285,Pleasant View Drive @ 890 W,890 W Pleasant View Drive & 1000 W,41.321284,-111.999889,,,,,,0
23318,TX198093,Crescent View Station,361 E 11400 South & 361 East,40.545343,-111.878751,,,,,,1
23319,TX198094,Crescent View Station,361 E 11400 South & 361 East,40.544591,-111.878506,,,,,,1
23320,TX198095,Kimballs Lane Station,11796 S 700 East & 11796 South,40.536528,-111.872436,,,,,,1
23321,TX198096,Kimballs Lane Station,11796 S 700 East & 11796 South,40.535876,-111.871887,,,,,,1
23322,TX198097,Draper Town Center Station,1131 E Pioneer Road & 1131 East,40.525675,-111.859915,,,,,,1
23323,TX198098,Draper Town Center Station,1131 E Pioneer Road & 1131 East,40.525496,-111.858805,,,,,,1
23336,830026,800 E @ 984 N,984 N 800 E & E 970  N,40.315286,-111.676703,,,0,,,0
23338,830028,Geneva Rd @ 1161 S,1161 S Geneva Rd,40.275852,-111.727789,,,0,,,1
23339,830029,1200 W @ 1209 N,1209 N 1200 W & W 1200  N,40.319255,-111.724817,,,0,,,0
23340,830027,800 E @ 985 N,985 N 800 E & E 970 N,40.315308,-111.676817,,,0,,,0
23342,198107,Airport Station,714 N Terminal Dr,40.784282,-111.98047,,,0,,,1
23348,830031,1200 W @ 1086 N,1086 N 1200 W,40.317058,-111.724517,,,0,,,0
23351,830032,900 N @ 792 E,792 E 900 N,40.245802,-111.644618,,,0,,,1
23352,636026,700 W @ 4463 S,4463 S 700 W & W 4450  S,41.181142,-111.995961,,,,,,1
23354,830036,Cabela'S Blvd / Outlet Pkwy (EB),3723 Cabelas Blvd,40.433907,-111.882648,,,0,,,1
23356,636027,1900 W @ 4142 S,4142 S 1900 W & Ut-126,41.188432,-112.025749,,,,,,1
23357,636028,1900 W @ 4189 S,4189  S S 1900 W & Ut-126,41.187693,-112.026012,,,,,,1
23360,198102,State St @ 7087 S,7087 S State St & Us-89,40.622541,-111.890277,,,,,,0
23362,198103,1950 W @ 126 N,126 N 1950 W,40.772068,-111.946866,,,0,,,0
23368,830042,800 E @ 579 N,579 N 800 E & E 600 N,40.307821,-111.676713,,,0,,,0
23369,830043,800 E @ 574 N,574 N 800 E & E 600 N,40.307745,-111.676545,,,0,,,0
23371,198099,Salt Lake International Airport,786 N Terminal Dr,40.786343,-111.983237,,,0,,,1
23372,BB198108,Draper Station,12997 S 365 W & Draper Frontrunner Station,40.514575,-111.904608,,,0,,,1
23373,BB198109,Draper Station,12997 S 365 W,40.514763,-111.90463,,,,,,1
23374,198110,3600 W @ 13273 S,13273 S 3600 W,40.510047,-111.976711,,,,,,0
23375,830044,University Ave @ 872 S,873 S University Ave,40.222364,-111.658879,,,0,,,0
23376,830063,Freedom Blvd @ 318 N,318 N Freedom Blvd & N 200 W,40.237997,-111.662119,,,0,,,0
23377,830061,Freedom Blvd @ 323 N,323 N Freedom Blvd & N 200 W,40.238064,-111.66233,,,0,,,1
23378,301372,Main St @ 175 S,419 E 700 N & N 400 E,41.032552,-111.937383,,,0,,,0
23380,301373,1000 W @ 510 N,510 1000  Nw & Sunset Dr,41.120711,-112.045216,,,,,,0
23381,636032,26Th St @ 181 E,181  E. 26Th St & Lincoln Ave,41.218579,-111.976637,,,,,,1
23382,630032,Us Hwy 89 @ 5985 S,5985 S Us Hwy 89,41.153707,-111.938394,,,,,,0
23389,830054,Center St @ 812 E,812 E Center St & N 800 E,40.296846,-111.676125,,,0,,,1
23390,830057,Center St @ 749 E,749 E Center St,40.297039,-111.677485,,,0,,,1
23392,BB830055,Lehi Station (Bay F),Lehi Station St,40.425716,-111.895403,,,0,,,1
23393,830049,Pony Express Pky @ 3917 E,3917 E Pony Express Pky & Smith Ranch Rd,40.362233,-111.96864,,,0,,,0
23394,830050,Pony Express Pky  @ 3916 E,Pony Express Pky & Smith Ranch Rd,40.362069,-111.968583,,,0,,,0
23395,830051,University Ave @ 1137 N,1137 N University Ave,40.249253,-111.658779,,,0,,,1
23401,198113,2700 S @ 8942 W,8942 W 2700 S & S 8950  W,40.711049,-112.104864,,,,,,1
23402,501022,Tooele Blvd (1100 W) @ 47 S,47 S Tooele Blvd (1100 W) & Tatc,40.528772,-112.325431,,,,,,1
23403,501023,1000 W @ 114 S,114 S 1000 W & Usu Ext,40.530126,-112.323845,,,,,,0
23404,501024,Coleman St (600 W) @ 188 S,188 S Coleman St (600 W),40.52713,-112.314363,,,,,,1
23409,501028,Main St @ 236  E,Main St & 236 E,40.599712,-112.455814,,,,,,0
23410,636039,4400 S @ 2164 W,2164 W 4400 S & S 2175  W,41.183483,-112.031779,,,,,,0
23411,636040,2175 W @ 4381 S,4381 S 2175 W & W 4400  S,41.183793,-112.032374,,,,,,0
23414,636043,1900 W @ 4362 S,4362 S S 1900 W,41.184185,-112.025781,,,0,,,0
23416,636033,1900 W @ 4377 S,4377   S S 1900 W,41.183927,-112.026065,,,0,,,1
23417,636044,Washington Blvd @ 1927,1927 Washington Blvd & Us-89,41.232298,-111.970394,,,,,,0
23419,830060,Main St  @ 60 S,,40.109015,-111.65496,,,0,,,0
23424,830065,University Pkwy @ 690 E,690 E University Pkwy & University Pl,40.272889,-111.678685,,,0,,,1
23436,BB830074,Lehi Station (Bay A),3101 N Ashton Blvd,40.425708,-111.896118,,,0,,,1
23439,830079,Us-89 @ 940 W,940 W Us-89,40.387252,-111.822506,,,0,,,1
23441,636063,17Th St  @ 215 E,215 E 17Th St & Lincoln Ave,41.236748,-111.975323,,,0,,,0
23442,636064,2Nd St @ 121,121 E 2nd St & Wall Ave,41.259188,-111.977262,,,,,,0
23443,636065,530 W @ 98 S (Ogden Bdo),98 S 530 W & Ogden Bdo,41.261742,-111.990003,,,,,,0
23445,636066,600 W @ 287 N (Ogden Bdo),287 N 600 W & Ogden Bdo,41.265337,-111.992796,,,,,,0
23448,636069,Depot Dr @ 513 S (Ogden Bdo),513 S Depot Dr & Ogden Bdo,41.254099,-111.997836,,,,,,0
23449,636070,Depot Dr  @ 801 S (Ogden Bdo),801 S Depot Dr & Ogden Bdo,41.251553,-111.995975,,,0,,,0
23450,636071,Depot Dr @ 1041 S (Ogden Bdo),1041 S Depot Dr & Ogden Bdo,41.246931,-111.99463,,,,,,0
23453,636074,Stewart Way  @ 426 S (Ogden Bdo),426 Stewart St,41.255693,-111.990951,,,,,,0
23459,636045,17Th St @ 186 E,186 17Th St & Lincoln Ave,41.23687,-111.976041,,,0,,,0
23472,830091,1460 N @ 1271 W,1271 W 1460 N & N 1250 W,40.25341,-111.680859,,,0,,,0
23473,830092,1460 N @ 1226 W,1226 W 1460 N & N 1250 W,40.253519,-111.680135,,,0,,,0
23474,830093,University Ave @ 1421 N,1421 N University Ave & Us-189,40.253128,-111.658758,,,0,,,1
23475,830094,University Pkwy. @ 1666 N,1666 N University Pkwy,40.256094,-111.65939,,,0,,,1
23484,830103,Freedom Blvd @ 370 S,370 S Freedom Blvd & S 200  W,40.228769,-111.662353,,,0,,,0
23491,636081,1100 S @ 651 W (Ogden Bdo),651 W 1100 S & Ogden Bdo,41.245582,-111.992332,,,,,,0
23492,301371,Main St @ 1779 N,1779 N Main St,41.009768,-111.909213,,,,,,1
23498,830113,Ashton Blvd @ 2300 N,2300  Nw & Ashton Blvd,40.420688,-111.885481,,,0,,,1
23500,830115,Executive Pkwy / Thanksgiving Way (,2503 Executive Pkwy  W,40.427073,-111.889318,,,0,,,0
23504,830116,900 N @ 783 E,783 E 900 N & Unnamed St,40.245921,-111.644786,,,0,,,1
23507,830119,1860 S @ 519 E,519 E 1860 S & Unnamed St,40.208835,-111.650625,,,0,,,0
23516,830122,Redwood Rd N @ 1418,,40.388076,-111.916184,,,0,,,0
23517,830123,Redwood Rd @ 1461 N,1461 N Redwood Rd,40.389291,-111.916607,,,0,,,0
23522,198127,12300 S / 210 E (WB),159 E 12300 S,40.526892,-111.885557,,,,,,0
23523,BB830124,Orem Central Station (Bay F),1350 W 900 S,40.280793,-111.726384,,,0,,,1
23524,198128,700 E / 12300 S (SB),12346 S 700 E,40.52609,-111.871305,,,,,,0
23525,198129,Draper Town Center Station (Bay A),1115 E 12400 S,40.525389,-111.859558,,,,,,0
23526,198130,Pioneer Rd / Fort St (WB),989 E 12400 S (Pioneer Rd),40.525156,-111.863669,,,,,,0
23527,198131,Pioneer Rd / 700 E (WB),723 E 12400 S (PIONEER RD),40.525166,-111.87065,,,,,,0
23529,198133,10600 S @ 673 E,673 E 10600 S,40.558845,-111.872777,,,,,,1
23530,198134,10600 S @ 287 E,287 E 10600 S,40.558922,-111.882165,,,,,,0
23531,198135,10600 S @ 288 E,288 E 10600 S,40.558748,-111.882244,,,,,,1
23532,636082,Us-89 @ 3807 N    (Plesant View),3807 North Us-89,41.325104,-112.019755,,,,,,0
23533,636083,Us-89 @ 3804 N   (Pleasant View),3084 North  Us-89,41.325447,-112.019734,,,,,,
23534,301374,University Park Blvd @ 2388 N,2388 N University Park Blvd & W 1400 S,41.094663,-111.987692,,,,,,0
23535,301375,Main St @ 3315 S,3315 S Main St & Us-89,40.85378,-111.902338,,,,,,1
23536,636084,25Th St @ 1176 E,1176 E 25Th St,41.220431,-111.948852,,,,,,1
23537,636085,25Th St @ 1185 E,1185 E 25Th St & Harrison Blvd,41.220294,-111.94863,,,,,,1
23551,198137,1300 E @ 1969 S,1968 S 1300 E,40.727433,-111.853834,,,,,,1
23552,198138,900 S @ 212 E,212 E 900 S & S 200 E,40.749704,-111.884949,,,,,,0
23553,198139,Sugarmont Station (NB),2225 S 900 E & Sugarmont Dr,40.722432,-111.865299,,,,,,0
23556,198136,400 S @ 409 W,409 W 400 S & S 400 W,40.760504,-111.902898,,,,,,1
23557,830127,University Ave @ 1466 N,1466 N University Ave & Paul Ream Ave,40.25372,-111.658465,,,,,,1
23563,830131,740 W @ 1669 N,1669 N 740 W & Us-89,40.256252,-111.672895,,,0,,,1
23564,636087,1200 S @ 737 W,737 W 1200 S & S 750 W,41.244358,-111.995667,,,,,,0
23565,TX198140,Central Pointe Station,2180 S & 210 W,40.723424,-111.896794,,,,,,1
23566,TX198141,South Salt Lake City Station,2240 S & 30 E,40.722263,-111.890174,,,,,,1
23567,TX198142,300 East Station,2240 S & 310 E,40.722324,-111.882335,,,,,,1
23568,TX198143,500 East Station,2240 S & 490 E,40.722306,-111.877085,,,,,,1
23569,TX198144,700 East Station,2220 S & 690 E,40.722798,-111.871612,,,,,,1
23570,TX198145,Sugarmont Station,2220 S & 910 E,40.722818,-111.865092,,,,,,1
23571,TX198146,Fairmont Station,2220 S & 1040 E,40.722757,-111.861675,,,,,,1
